,Title,Series,Number,Status,Release Date,PDF Link
0,Product Development Cybersecurity Handbook: Concepts and Considerations for IoT Product Manufacturers,CSWP,33,Draft,4/03/2024,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.33.ipd.pdf
1,NIST Cybersecurity Framework 2.0: A Guide to Creating Community Profiles,CSWP,32,Draft,2/26/2024,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.32.ipd.pdf
2,Combinatorial Coverage Difference Measurement,CSWP,19,Draft,6/22/2021,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.06222021-draft.pdf
3,Establishing Confidence in IoT Device Security: How do we get there?,CSWP,18,Draft,5/14/2021,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.05142021-draft.pdf
4,Securing Data Integrity Against Ransomware Attacks: Using the NIST Cybersecurity Framework and NIST Cybersecurity Practice Guides,CSWP,17,Draft,10/01/2020,https://nvlpubs.nist.gov/nistpubs/cswp/NIST.CSWP.10012020-draft.pdf
5,Trusted Internet of Things (IoT) Device Network-Layer Onboarding and Lifecycle Management,CSWP,16,Draft,9/08/2020,https://nvlpubs.nist.gov/nistpubs/CSWP/NIST.CSWP.09082020-draft.pdf
6,Module-Lattice-Based Key-Encapsulation Mechanism Standard,FIPS,203,Draft,8/24/2023,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.203.ipd.pdf
7,Stateless Hash-Based Digital Signature Standard,FIPS,205,Draft,8/24/2023,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.205.ipd.pdf
8,Module-Lattice-Based Digital Signature Standard,FIPS,204,Draft,8/24/2023,https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.204.ipd.pdf
9,Proposal of Requirements for an Accordion Mode: Discussion Draft for the NIST Accordion Mode Workshop 2024,Other,,Draft,4/10/2024,https://csrc.nist.gov/files/pubs/other/2024/04/10/proposal-of-requirements-for-an-accordion-mode-dis/iprd/docs/proposal-of-requirements-for-an-accordion-mode-discussion-draft.pdf
10,Toward a PEC Use-Case Suite,Other,,Draft,1/21/2021,https://csrc.nist.gov/CSRC/media/Projects/pec/documents/suite-draft1.pdf
11,An Application of Combinatorial Methods for Explainability in Artificial Intelligence and Machine Learning,Other,,Draft,5/22/2019,https://csrc.nist.gov/files/pubs/other/2019/05/22/combinatorial-methods-for-explainability-in-ai-and/ipd/docs/combinatorial-methods-explainability-ai-ml-draft.pdf
12,Internet of Things (IoT) Trust Concerns,Other,,Draft,10/17/2018,https://csrc.nist.gov/files/pubs/other/2018/10/17/iot-trust-concerns/ipd/docs/iot-trust-concerns-draft.pdf
13,Cybersecurity for Smart Inverters: Guidelines for Residential and Light Commercial Solar Energy Systems,IR,8498,Draft,5/10/2024,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8498.ipd.pdf
14,Recommended Cybersecurity Requirements for Consumer-Grade Router Products,IR,8425A,Draft,4/17/2024,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8425A.ipd.pdf
15,A Security Perspective on the Web3 Paradigm,IR,8475,Draft,4/11/2024,https://nvlpubs.nist.gov/nistpubs/ir/2024/NIST.IR.8475.ipd.pdf
16,PRE-DRAFT Call for Comments | Small Business Information Security: The Fundamentals,IR,7621 Rev. 2,Draft,3/18/2024,https://csrc.nist.gov/pubs/ir/7621/r1/final
17,Data Classification Concepts and Considerations for Improving Data Collection,IR,8496,Draft,11/15/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8496.ipd.pdf
18,Cybersecurity for Research: Findings and Possible Paths Forward,IR,8481,Draft,8/31/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8481.ipd.pdf
19,Cybersecurity Framework Profile for Genomic Data,IR,8467,Draft,6/15/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8467.ipd.pdf
20,State Machine Replication and Consensus with Byzantine Adversaries,IR,8460,Draft,4/26/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8460.ipd.pdf
21,Report on the Block Cipher Modes of Operation in the NIST SP 800-38 Series,IR,8459,Draft,3/21/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8459.ipd.pdf
22,Hardware-Enabled Security: Hardware-Based Confidential Computing,IR,8320D,Draft,2/23/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8320D.ipd.pdf
23,NIST First Call for Multi-Party Threshold Schemes,IR,8214C,Draft,1/25/2023,https://nvlpubs.nist.gov/nistpubs/ir/2023/NIST.IR.8214C.ipd.pdf
24,Notes on Threshold EdDSA/Schnorr Signatures,IR,8214B,Draft,8/12/2022,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8214B.ipd.pdf
25,Hardware-Enabled Security: Machine Identity Management and Protection,IR,8320C,Draft,4/20/2022,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8320C.ipd.pdf
26,Methodology for Characterizing Network Behavior of Internet of Things Devices,IR,8349,Draft,1/11/2022,https://nvlpubs.nist.gov/nistpubs/ir/2022/NIST.IR.8349-draft.pdf
27,Identity as a Service for  Public Safety Organizations,IR,8335,Draft,6/16/2021,https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8335-draft.pdf
28,Background on Identity Federation Technologies for the Public Safety Community,IR,8336,Draft,6/09/2021,https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8336-draft.pdf
29,Using Mobile Device Biometrics for Authenticating First Responders,IR,8334,Draft,6/02/2021,https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8334-draft.pdf
30,Considerations for Digital Twin Technology and Emerging Standards,IR,8356,Draft,4/16/2021,https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8356-draft.pdf
31,Ontology for Authentication,IR,8344,Draft,2/08/2021,https://nvlpubs.nist.gov/nistpubs/ir/2021/NIST.IR.8344-draft.pdf
32,Creating a Profile Using the IoT Core Baseline and Non-Technical Baseline,IR,8259C,Draft,12/15/2020,https://nvlpubs.nist.gov/nistpubs/ir/2020/NIST.IR.8259c-draft.pdf
33,Security Review of Consumer Home Internet of Things (IoT) Products,IR,8267,Draft,10/01/2019,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8267-draft.pdf
34,A Reference for Randomness Beacons: Format and Protocol Version 2,IR,8213,Draft,5/06/2019,https://nvlpubs.nist.gov/nistpubs/ir/2019/NIST.IR.8213-draft.pdf
35,National Initiative for Cybersecurity Education (NICE) Framework Work Role Capability Indicators: Indicators for Performing Work Roles,IR,8193,Draft,11/08/2017,https://csrc.nist.gov/files/pubs/ir/8193/ipd/docs/nistir8193-draft.pdf
36,Identifying Uniformity with Entropy and Divergence,IR,8139,Draft,2/02/2017,https://csrc.nist.gov/files/pubs/ir/8139/ipd/docs/nistir8139-draft.pdf
37,Assessing Threats to Mobile Devices & Infrastructure: the Mobile Threat Catalogue,IR,8144,Draft,9/12/2016,https://csrc.nist.gov/files/pubs/ir/8144/ipd/docs/nistir8144_draft.pdf
38,Forming Common Platform Enumeration (CPE) Names from Software Identification (SWID) Tags,IR,8085,Draft,12/17/2015,https://csrc.nist.gov/files/pubs/ir/8085/ipd/docs/nistir_8085_draft.pdf
39,Security Content Automation Protocol (SCAP) Version 1.2 Content Style Guide: Best Practices for Creating and Maintaining SCAP 1.2 Content,IR,8058,Draft,5/01/2015,https://csrc.nist.gov/files/pubs/ir/8058/ipd/docs/nistir_8058_draft.pdf
40,Specification for the Asset Summary Reporting Format 1.0,IR,7848,Draft,5/07/2012,https://csrc.nist.gov/files/pubs/ir/7848/ipd/docs/draft_nistir_7848.pdf
41,Trusted Internet of Things (IoT) Device Network-Layer Onboarding and Lifecycle Management: Enhancing Internet Protocol-Based IoT Device and Network Security,SP,1800-36,Draft,5/31/2024,https://www.nccoe.nist.gov/sites/default/files/2024-05/nist-sp-1800-36a-draft.pdf
42,Secure Software Development Practices for Generative AI and Dual-Use Foundation Models: An SSDF Community Profile,SP,800-218A,Draft,4/29/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-218A.ipd.pdf
43,Incident Response Recommendations and Considerations for Cybersecurity Risk Management: A CSF 2.0 Community Profile,SP,800-61 Rev. 3,Draft,4/03/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-61r3.ipd.pdf
44,NIST Cybersecurity Framework 2.0: Enterprise Risk Management Quick-Start Guide,SP,1303,Draft,2/26/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1303.ipd.pdf
45,NIST Cybersecurity Framework 2.0: Quick-Start Guide for Cybersecurity Supply Chain Risk Management (C-SCRM),SP,1305,Draft,2/26/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1305.ipd.pdf
46,NIST Cybersecurity Framework 2.0: Quick-Start Guide for Using the CSF Tiers,SP,1302,Draft,2/26/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1302.ipd.pdf
47,Guide for Mapping Types of Information and Systems to Security Categories,SP,800-60 Rev. 2,Draft,1/31/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-60r2.iwd.pdf
48,Addressing Visibility Challenges with TLS 1.3 within the Enterprise,SP,1800-37,Draft,1/30/2024,https://www.nccoe.nist.gov/sites/default/files/2024-01/tls-nist-sp-1800-37a-preliminary-draft-2.pdf
49,Measurement Guide for Information Security: Volume 1 — Identifying and Selecting Measures,SP,800-55 Vol. 1,Draft,1/17/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-55v1.ipd.pdf
50,Measurement Guide for Information Security: Volume 2 — Developing an Information Security Measurement Program,SP,800-55 Vol. 2,Draft,1/17/2024,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-55v2.ipd.pdf
